Ticker,Date,Revenue,OperatingProfit,EBITDA,NetIncome,TotalAssets,CommonEquity,EPS,OperatingCashFlow,CapEx,GrossMargin,OperatingMargin,NetMargin,ROE_TTM,ROA_TTM,CurrentRatio,DebtToEquity,MarketCap,RevenueGrowthQoQ,RevenueGrowthYoY,EPSGrowthYoY,NetIncomeGrowthYoY,StockReturnQoQ,LogAssets,FreeCashFlow
AMD,27/09/2025,9246,1270,2024,1172,76891,60790,0.71,1788,258,48.43,13.74,12.68,5.32,4.27,2.31,5.3,258778.65,20.31229668184775,35.59172899,51.06382978723405,52.010376134889746,10.980853194097762,11.25014411353406,1530
AMD,27/12/2025,10270,1846,2597,1620,76926,62999,1.01,2304,222,51.41,17.97,15.77,7.08,5.84,2.85,5.11,350012.65,11.075059485182791,34.10812222512405,248.27586206896552,236.09958506224066,35.25561324320998,11.250599199780755,2082
JPM,31/12/2021,29257,12794,,10399,3743567,259289,3.33,144143,,,,35.54,18.29,1.36,,186.63,,,,,,,15.135549458182043,
JPM,31/03/2022,30717,10182,,8282,3954687,253061,2.63,57774,,,,26.96,16.13,1.11,,201.01,,4.990258741497766,,,,,15.190412015723432,
JPM,30/06/2022,30715,10938,,8649,3841314,253305,2.76,-27832,,,,28.16,14.68,1.04,,198.97,,-0.006511053,,,,,15.161325053531119,
JPM,30/09/2022,32716,12048,,9737,3773884,255180,3.12,-68381,,,,29.76,13.8,0.98,,199.74,,6.514732215529873,,,,,15.143615267819282,
JPM,31/12/2022,34547,13264,,11008,3665743,264928,3.57,8663,,,,31.86,13.69,1.02,,185.58,,5.596649957207478,18.081142974330923,7.207207207,5.8563323396480405,,15.1145416,
JPM,31/03/2023,38010,15804,,12622,3744305,275678,4.1,-77558,,,,33.21,15.22,1.09,,192.73,,10.024025240976053,23.742552983689812,55.89353612,52.40280125573533,,15.135746576936848,
JPM,30/06/2023,38595,15893,,14472,3868240,285112,4.75,-42600,,,,37.5,17.11,1.24,,214.83,,1.5390686661404862,25.655217320527424,72.10144927536233,67.32570239334028,,15.168310181200255,
JPM,30/09/2023,39774,17542,,13151,3898333,289967,4.33,29818,,,,33.06,18.16,1.34,,213.32,,3.0547998445394464,21.57354199779924,38.78205128205128,35.06213412755468,,15.176059583825676,
